"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"351","AVENIDA FORTALEZA CENTRO","5456",NULL,"CENTRO","773088","1551211","AVENIDA  FORTALEZA CENTRO","5456",NULL,"CENTRO","100","25.33","100","62.91","-11.7242389","-61.7822581","110028805000007","-11.724192","-61.782276","110028805000007","-11.724192","-61.782276","0","5.56729906","1","0",True,NULL
"352","RUA PEDRO JAQUEIRA CENTRO","938","DISTRITO","CENTRO","541347","1544704","RUA  PEDRO JAQUEIRA NOVO RIACHUELO","938",NULL,"NOVO RIACHUELO","100","22.24","10.41","39.07","-11.0836555","-61.6586221","110025420000001","-11.083937","-61.659688","110025420000001","-11.083937","-61.659688","0","120.4502746","1","0",True,NULL
"353","RUA NATALINO ROSSI JAVARINI CENTRO","1062","BR 364 - KM 22","CENTRO","400889","1545534","AVENIDA  NATALINO R JAVARINI BANDEIRA BRANCA","1062",NULL,"BANDEIRA BRANCA","24.51","24.59","10.27","21.54","-11.07870187","-61.9205139","110025425000001","-11.078233","-61.920705","110025425000001","-11.078233","-61.920705","0","56.15185215","1","0",True,NULL
"354","6ª LINHA, GLEBA 02, LOTE 42-A",NULL,"AREA RURAL",NULL,"67722","1145795","LINHA  C 42 PROJETO DE ASSENTAMENTO DIRIGIDO MARECHAL DUTRA","1",NULL,"PROJETO DE ASSENTAMENTO DIRIGIDO MARECHAL DUTRA","26.12","16.07","11.63","20.9","-11.0824688477442","-62.1132263448089","110025430000007","-10.096415","-63.033947","110002305000097","-10.096907","-63.033947","54.70797923","148826.07986234","1","145119.70201426",False,False
"355","ASSENTAMENTO CHICO MENDES 4 LINHA AGROVILA III",NULL,"ASSENTAMENTO",NULL,"67699","1145785","LINHA  SEM DENOMINACAO 4 PROJETO DE ASSENTAMENTO DIRIGIDO MARECHAL DUTRA","1",NULL,"PROJETO DE ASSENTAMENTO DIRIGIDO MARECHAL DUTRA","17.58","16.07","11.63","16.43","-11.2833919096738","-61.984884403646","110025430000003","-10.117682","-63.068776","110002305000097","-10.117682","-63.068776","0","175573.95152355","1","164226.60420893",False,False
"356","6ª LINHA ASSENTAMENTO CHICO MENDES III AGROVILA 08 ZONA RURAL",NULL,NULL,"ZONA RURAL","332960","91964523","LINHA  155 ZONA RURAL","1","FAZENDA","ZONA RURAL","15.73","16.07","100","17.25","-11.2716557","-62.1315063","110025430000005","-12.765282","-61.406342","110007205000022","-12.765282","-61.406241","10.9531185","183857.27326457","1","177270.3477992",False,False
"357","RUA TOCANTINS CENTRO","4787",NULL,"CENTRO","927089","1554142","RUA  TOCANTINS CENTRO","5587",NULL,"CENTRO","100","17.38","100","51.26","-11.7237446","-61.7842444","110028805000001","-11.731023","-61.783708","110028805000014","-11.731023","-61.783708","0","811.42657935","1","604.1873746",False,False
"358","AVENIDA JOAO PESSOA CENTRO","4271","EDIFICIO","CENTRO","682770","1552343","AVENIDA  JOAO PESSOA CENTRO","4271",NULL,"CENTRO","100","27.33","100","65.28","-11.7205871","-61.7713712","110028805000010","-11.720437","-61.771446","110028805000010","-11.720437","-61.771446","0","18.57129968","1","0",True,NULL
"359","AVENIDA MACEIO CENTRO","4665",NULL,"CENTRO","558118","1553649","AVENIDA  MACEIO CENTRO","4665",NULL,"CENTRO","100","24.07","100","61.32","-11.7282809","-61.7752636","110028805000013","-11.728078","-61.77507","110028805000013","-11.728078","-61.77507","0","30.8755566","1","0",True,NULL
"360","AVENIDA PORTO VELHO CENTRO","4816",NULL,"CENTRO","558253","1553698","AVENIDA  PORTO VELHO CENTRO","4816",NULL,"CENTRO","100","24.45","100","61.81","-11.7297155","-61.7764958","110028805000013","-11.729825","-61.776365","110028805000013","-11.729825","-61.776365","0","18.73622314","1","0",True,NULL
"361","AVENIDA GOIANIA CENTRO","5557",NULL,"CENTRO","557991","1553886","AVENIDA  GOIANIA CENTRO","4972","LOJA","CENTRO","100","14.05","100","44.97","-11.732689","-61.7832899","110028805000014","-11.732839","-61.77802","110028805000013","-11.732839","-61.7779685","5.60689856","573.9861325","1","20.79211903",False,True
"362","TRAVESSA RELIQUIA OLIMPICO","4560",NULL,"OLIMPICO","676824","1554893","TRAVESSA  RELIQUIA OLIMPICO","4865",NULL,"OLIMPICO","100","16.6","100","49.88","-11.7088839","-61.7735966","110028805000017","-11.709398","-61.776742","110028805000017","-11.709398","-61.776742","0","347.21300414","1","0",True,NULL
"363","RUA RONDONIA CENTENARIO","4278",NULL,"CENTENARIO","87103","1556095","RUA  RONDONIA CENTENARIO","4278",NULL,"CENTENARIO","100","25.69","100","63.35","-11.7193195","-61.762567","110028805000021","-11.718782","-61.762913","110028805000021","-11.718782","-61.762913","0","70.64899827","1","0",True,NULL
"364","RUA RONDONIA CENTENARIO","4285",NULL,"CENTENARIO","87107","1556128","RUA  RONDONIA CENTENARIO","4372",NULL,"CENTENARIO","100","15.61","100","48.05","-11.719619","-61.763167","110028805000023","-11.720129","-61.762765","110028805000021","-11.720129","-61.762765","0","71.6355373","1","21.25234817",False,True
"365","AV ARACAJU JARDIM TROPICAL","3277",NULL,"JARDIM TROPICAL","879873","1478423","AVENIDA  ARACAJU JARDIM TROPICAL","3692",NULL,"JARDIM TROPICAL","100","15.74","100","48.3","-11.7275003","-61.7624952","110028805000024","-11.726944","-61.766136","110028805000024","-11.726944","-61.766136","0","401.18611097","1","0",True,NULL
"366","RUA RIO VERDE BEIRA RIO","6480",NULL,"BEIRA RIO","478389","1480175","RUA  RIO VERDE BEIRA RIO","6480",NULL,"BEIRA RIO","100","27.78","100","65.79","-11.7390455","-61.7704037","110028805000029","-11.739535","-61.770664","110028805000029","-11.739535","-61.770664","0","61.36533429","1","0",True,NULL
"367","RUA POETA AUGUSTO DOS ANJOS BEIRA RIO","4060",NULL,"BEIRA RIO","478244","1480174","AVENIDA POETA AUGUSTO DOS ANJOS BEIRA RIO","4060",NULL,"BEIRA RIO","100","28.31","100","66.38","-11.7392817","-61.76974","110028805000029","-11.739489","-61.769449","110028805000029","-11.739489","-61.769449","0","39.17931849","1","0",True,NULL
"368","AVENIDA SAO PAULO BEIRA RIO","4679",NULL,"BEIRA RIO","727778","1480771","AVENIDA SAO PAULO BEIRA RIO","4679",NULL,"BEIRA RIO","100","24.72","100","62.14","-11.7361221","-61.7754013","110028805000031","-11.735927","-61.775277","110028805000031","-11.735927","-61.775277","0","25.56888985","1","0",True,NULL
"369","RUA OURO PRETO BOA ESPERANCA","6807",NULL,"BOA ESPERANCA","368619","1482500","RUA  OURO PRETO BOA ESPERANCA","6807",NULL,"BOA ESPERANCA","100","25.37","100","62.95","-11.7418327","-61.790559","110028805000037","-11.741764","-61.790314","110028805000037","-11.741764","-61.790314","0","27.74509552","1","0",True,NULL
"370","RUA TOCANTINS BOA ESPERANCA","5884",NULL,"BOA ESPERANCA","684646","1483087","RUA  TOCANTINS BOA ESPERANCA","5884",NULL,"BOA ESPERANCA","100","26.96","100","64.86","-11.7335613","-61.7834291","110028805000039","-11.733512","-61.783746","110028805000039","-11.733512","-61.783746","0","34.93418715","1","0",True,NULL
"371","RUA CARLOS CHAGAS SAO CRISTOVAO","5217","PROXIMO AO CREA","SAO CRISTOVAO","157677","1654630","RUA  CARLOS CHAGAS CACHIMBO DE OURO","4763",NULL,"CACHIMBO DE OURO","100","14.37","12.26","34.4","-11.727689","-61.7940806","110028805000042","-11.354895","-62.291658","110034605000005","-11.354895","-62.291658","0","68242.16635374","1","67824.77178673",False,False
"372","AV. MACAPA SAO CRISTOVAO","6253","PREDIO","SAO CRISTOVAO","774420","1484620","AVENIDA  MACAPA SAO CRISTOVAO","6253",NULL,"SAO CRISTOVAO","17.8","25.99","100","20.82","-11.729274","-61.7896372","110028805000043","-11.729001","-61.789666","110028805000043","-11.729001","-61.789666","0","30.51776534","1","0",True,NULL
"373","RUA CAPIBARIBE SAO CRISTOVAO","5431",NULL,"SAO CRISTOVAO","774566","215459721","RUA  CAPIBARIBE SAO CRISTOVAO","5431",NULL,"SAO CRISTOVAO","100","23.7","100","60.83","-11.7294669","-61.7885783","110028805000043","-11.729303","-61.788117","110028805000043","-11.729303","-61.788117","0","53.42766709","1","0",True,NULL
"374","RUA DAS VIOLETAS BOM JARDIM","6829",NULL,"BOM JARDIM","261173","1485242","RUA  DAS VIOLETAS BOM JARDIM","6829",NULL,"BOM JARDIM","100","26.2","100","63.97","-11.7419537","-61.7955749","110028805000045","-11.741893","-61.795294","110028805000045","-11.741893","-61.795294","0","31.31707397","1","0",True,NULL
"375","LINHA 176 NORTE KM 0.3 ZONA RURAL",NULL,NULL,"ZONA RURAL","477919","1489323","LINHA  176 NORTE LINHA 176 NORTE","2","CHACARA 2 E MEIO","LINHA 176 NORTE","29.08","14.9","12.08","21.85","-11.72323735","-61.85075048","110028805000061","-11.702602","-61.851755","110028805000061","-11.704593","-61.851755","221.38940375","2297.15456354","1","0",True,NULL
"376","RODOVIA RO 010 ZONA RURAL",NULL,NULL,"ZONA RURAL","221256","180376879","RODOVIA  RO 010 KM 6","1",NULL,"KM 6","100","16.07","11.34","35.38","-11.72607465","-61.65875039","110028805000062","-11.728621","-61.853633","110028805000060","-11.728704","-61.853457","21.26851819","21219.53472223","1","18089.40007683",False,False
"377","AVENIDA CECILIA MEIRELES CIDADE ALTA","5866","COLEGIO","CIDADE ALTA","271406","1486066","AVENIDA  CECILIA MEIRELES CIDADE ALTA","5866",NULL,"CIDADE ALTA","100","26.56","100","64.39","-11.7176453","-61.7990132","110028805000094","-11.717703","-61.79932","110028805000094","-11.717703","-61.79932","0","34.01429437","1","0",True,NULL
"378","AVENIDA AV. CECILIA MEIRELES CIDADE ALTA","5794",NULL,"CIDADE ALTA","271405","1486065","AVENIDA  CECILIA MEIRELES CIDADE ALTA","5794",NULL,"CIDADE ALTA","28.4","26.54","100","30.14","-11.71820717","-61.79928954","110028805000094","-11.718227","-61.799342","110028805000094","-11.718227","-61.799342","0","6.12256","1","0",True,NULL
"379","AVENIDA ARARIBOIA CENTRO","2892","DIST. NOVA ESTRELA","CENTRO","610505","92300469","AVENIDA  ARARIBOIA NOVA ESTRELA","2892",NULL,"NOVA ESTRELA","100","25.25","10.39","40.75","-11.7275409","-61.54864304","110028805000085","-11.727433","-61.548978","110028805000085","-11.727433","-61.548978","0","38.39135043","1","0",True,NULL
"380","AV. SAO BENTO DISTRITO DE NOVA ESTRELA","3572",NULL,"DISTRITO DE NOVA ESTRELA","56604","92300303","AVENIDA SAO BENTO NOVA ESTRELA","3572",NULL,"NOVA ESTRELA","20.78","25.65","19.85","21.5","-11.7248911","-61.554369","110028805000086","-11.725137","-61.554511","110028805000086","-11.725137","-61.554511","0","31.41100847","1","0",True,NULL
"381","AVENIDA CECILIA MEIRELES CIDADE ALTA","5666",NULL,"CIDADE ALTA","271406","1486066","AVENIDA  CECILIA MEIRELES CIDADE ALTA","5866",NULL,"CIDADE ALTA","100","20.8","100","56.76","-11.719489","-61.799173","110028805000093","-11.717703","-61.79932","110028805000094","-11.717703","-61.79932","0","199.23829982","1","97.91549413",False,True
"382","AVENIDA RECIFE CENTRO","6151",NULL,"CENTRO","500838","180369380","AVENIDA  RECIFE CENTRO","5275",NULL,"CENTRO","100","16.18","100","49.12","-11.7224542","-61.7884588","110028805000114","-11.722386","-61.780609","110028805000006","-11.722386","-61.780609","0","854.68789334","1","791.32724558",False,False
