"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
283,"RUA RAIMUNDO CANTUARIA TIRADENTES","6727.0",NULL,"tiradentes",258670,"1474710","AVENIDA  RAIMUNDO CANTUARIA TIRADENTES","7893",NULL,"tiradentes","100.0","85.23","100.0","97.05","-8.7594683","-63.849503","110020505090113","-8.75758","-63.840795","110020505090032","-8.75758","-63.840795","0","979.75891053","1","932.16344089",False,False
284,"AVENIDA AMAZONAS TIRADENTES","6492.0","ZONA LESTE","tiradentes",23285,"91962888","AVENIDA  AMAZONAS COLORADO","5019",NULL,"colorado","100.0","77.31","33.33","88.8","-8.758459","-63.8540109","110020505090113","-13.12386","-60.535198","110006405000012","-13.12386","-60.535198","0","605667.60407502","1","603468.28376531",False,False
285,"RUA DANIELE LAGOINHA","2142.0",NULL,"lagoinha",345546,"97310288","RUA  DANIELA LAGOINHA","2440",NULL,"lagoinha","85.71","87.79","100.0","87.56","-8.768722500000004","-63.8498056","110020505090115","-8.765157","-63.847722","110020505090076","-8.765157","-63.847722","0","457.83926304","1","76.23840227",False,False
286,"RUA BENEDITO INOCENCIO TRES MARIAS","6913.0",NULL,"tres marias",317215,"215189478","RUA  BENEDITO INOCENCIO LAGOINHA","6383",NULL,"lagoinha","100.0","92.33","31.58","91.62","-8.76933485","-63.8477936","110020505090122","-8.770866","-63.852791","110020505090078","-8.770866","-63.852821","3.29684308","574.97483329","1","535.05088646",False,False
287,"RUA CATARINA TEIXEIRAO",NULL,NULL,"teixeirao",41872,"91939866","RUA SANTA CATARINA LIBERDADE","4433",NULL,"liberdade","100.0","0.0","44.44","74.44","-8.74182973","-63.83821267","110020505090137","-11.933081","-61.991885","110001505000014","-11.933106500000001","-61.9919105","3.96687492","408288.79495541","1","406332.70654793",False,False
288,"RUA INDEPENDENCIA/ ANTIGA TARCILA DO AMARAL MARINGA","8523.0","ANTIGO TEIXEIRAO","maringa",457560,"91984180","RODOVIA  BR ANTIGA PRIMAVERA","1280",NULL,"primavera","80.0","15.02","50.0","64.0","-8.7444547","-63.8362589","110020505090138","-10.894241","-61.936384","110012205000037","-10.894241","-61.936384","0","316967.7435149","1","315950.8992606",False,False
289,"RUA CARLOS REIS SAO FRANCISCO","9317.0","ZONA LESTE","sao francisco",342256,"92283931","RUA  CARLOS REIS SAO FRANCISCO","9316",NULL,"sao francisco","100.0","99.99","100.0","100.0","-8.771356900000002","-63.8242688","110020505100011","-8.771678","-63.824337","110020505100010","-8.771678","-63.824337","0","36.48288153","1","0",False,True
290,"RUA COLATINA MARCOS FREIRE","2030.0",NULL,"marcos freire",260272,"92284718","RUA  COLATINA MARCOS FREIRE","2035",NULL,"marcos freire","100.0","99.75","100.0","99.95","-8.781933","-63.805863","110020505100024","-8.7818","-63.806211","110020505100024","-8.7818","-63.806211","0","41.00222318","1","0",True,NULL
291,"RUA COLATINA MARCOS FREIRE","2005.0",NULL,"marcos freire",260273,"92284719","RUA  COLATINA MARCOS FREIRE","2005",NULL,"marcos freire","100.0","100.0","100.0","100.0","-8.781322","-63.80616","110020505100024","-8.782241","-63.80624","110020505100024","-8.782241","-63.80624","0","102.56574271","1","0",True,NULL
292,"RUA PALMEIRA MARCOS FREIRE",NULL,"LTO. PQ. AMAZONIA","marcos freire",463161,"99891549","RUA  PALMEIRA REAL GREEN PARK","0",NULL,"green park","100.0","0.0","52.17","75.22","-8.772348524","-63.80951014","110020505100030","-10.879934","-61.977397","110012205000163","-10.879934","-61.977368","3.1666937","308561.55724477","1","307136.25897398",False,NULL
293,"RUA PAULO FREIRE MARIANA","2525.0","PARQUE AMAZONIA","mariana",392205,"180214889","RUA  PAULO FREIRE SANTA CLARA","2430",NULL,"santa clara","100.0","96.24","55.56","94.8","-8.773172206","-63.80857351","110020505100030","-11.457206","-61.434708","110004905000089","-11.457206","-61.434708","0","395709.79675258","1","394225.77061525",False,NULL
294,"RUA 05 DE OUTUBRO SAO FRANCISCO","1555.0",NULL,"sao francisco",56413,"215029754","RUA  CINCO DE OUTUBRO SAO FRANCISCO","1746",NULL,"sao francisco","100.0","89.06","100.0","97.81","-8.7828477","-63.8319595","110020505100038","-8.780115","-63.831677","110020505100001","-8.780115","-63.831677","0","305.44451479","1","52.50807442",False,True
295,"RUA PETROLINA MARIANA","10804.0",NULL,"mariana",327246,"1516961","RUA  PETROLINA MARIANA","10805",NULL,"mariana","100.0","99.99","100.0","100.0","-8.7803559","-63.8102449","110020505100044","-8.77994","-63.810077","110020505100034","-8.77994","-63.810077","0","49.79086509","1","6.74905286",False,True
296,"RUA SAO JOSE SAO JOSE DISTRITO DE CALAMA","3212.0","BAIXO MADEIRA","sao jose distrito de calama",225037,"92577838","RUA SAO JOSE OPERARIO CENTRO","3440",NULL,"centro","100.0","93.37","30.3","91.7","-8.023809157000002","-62.87303799","110020515000001","-10.938243","-62.257301","110155905000002","-10.938243","-62.257301","0","331030.63572099","1","327978.07092766",False,False
297,"RUA DO AEROPORTO SAO FRANCISCO","135.0","BAIXO RIO MADEIRA","sao francisco",119179,"180248018","ESTRADA  DO AEROPORTO PRIMAVERA","375","CASA 2","primavera","100.0","36.0","27.27","79.93","-8.03479624","-62.87744276","110020515000002","-9.417802","-62.007084","110013005000053","-9.417923","-62.007084","13.45460465","181106.52067334","1","179880.01636434",False,False
298,"RUA 13 DE SETEMBRO FORTALEZA DO ABUNA",NULL,NULL,"fortaleza do abuna",36089,"220038652","TRAVESSA  13 SAO DOMINGOS DO GUAPORE","0",NULL,"sao domingos do guapore","100.0","0.0","43.9","74.39","-9.779005","-65.526515","110020518000001","-12.072937","-64.027804","110008035000006","-12.072937","-64.027804","0","303039.51807769","1","300502.40558112",False,False
299,"AVENIDA BELO HORIZONTE SAO JOSE","610.0",NULL,"sao jose",75076,"1629020","AVENIDA  BELO HORIZONTE SAO JOSE","1868",NULL,"sao jose","100.0","32.66","100.0","86.53","-12.7400388","-60.1574834","110030405000024","-12.740667","-60.157947","110030405000076","-12.740667","-60.157947","0","86.06724337","1","2.77951358",False,True
300,"SANTA CATARINA",NULL,"BAIXO MADEIRA",NULL,41868,"91939539","RUA SANTA CATARINA LIBERDADE","4202",NULL,"liberdade","100.0","0.0","0.0","70.0","-8.234529581","-63.25452274","110020515000013","-11.931745","-61.991998","110001505000014","-11.518804500000002","-61.9919185","45916.95263896","433716.73775519","1","431265.36897044",False,False
301,"RUA PRINCIPAL",NULL,"RIO MACHADO",NULL,3396,"91948352","RUA  PRINCIPAL VILA CHAPADAO","0",NULL,"vila chapadao","100.0","0.0","0.0","70.0","-8.171169000000004","-62.779466","110020516000001","-9.796424","-63.550741","110002305000128","-9.796419","-63.550764","2.58079271","199587.31457759","1","198135.66786229",False,False
302,"SAO JOSE DA PRAIA",NULL,"BAIXO MADEIRA",NULL,174830,"180408721","RUA SAO JOSE SETOR 04","0",NULL,"setor 04","100.0","0.0","0.0","70.0","-8.199899","-62.776311","110020516000002","-10.24865","-63.301653","110140105000023","-10.7889005","-63.301486","60073.20019858","234993.96460299","1","218684.14970516",False,False
303,"RUA GOVERNADOR JORGE TEIXEIRA EDIANE MARIA MOREIRA","1338.0",NULL,"ediane maria moreira",25312,"180253040","RUA GOVERNADOR JORGE TEIXEIRA VISTA ALEGRE","1334",NULL,"vista alegre","100.0","99.7","37.5","93.69","-9.7026556","-62.9024875","110026205000011","-11.542122","-61.014643","110009805000033","-11.542122","-61.014643","0","290518.38537049","1","289154.92617313",False,NULL
304,"MONTE SINAI",NULL,"RIO MACHADO",NULL,505032,"92002748","RUA  MONTE SINAI JARDIM DAS OLIVEIRAS","373",NULL,"jardim das oliveiras","100.0","0.0","0.0","70.0","-8.703214","-62.320375","110020516000003","-11.680864","-61.196257","110018905000022","-11.6799225","-61.1964185","106.15697472","353211.51602722","1","350028.60501843",False,False
305,"RUA ANTONIO OLIMPIO DE LIMA CENTRO","3238.0",NULL,"centro",572383,"1538036","RUA  ANTONIO OLIMPIO DE LIMA CENTRO","3410",NULL,"centro","100.0","94.96","100.0","98.99","-9.65677467641389","-65.7359056827293","110020545000006","-9.657383","-65.738855","110020545000012","-9.657383","-65.738855","0","330.30276528","1","36.64705678",False,True
306,"RUA CAMPO GRANDE TELEACRE","582.0",NULL,"teleacre",141245,"92320320","AVENIDA  CAMPO GRANDE NOVA DIMENSAO","469",NULL,"nova dimensao","100.0","80.58","19.05","88.02","-9.77790709120201","-66.3561460655801","110020517000003","-10.360366","-64.804806","110033815000011","-10.360366","-64.804806","0","181773.24479611","1","181386.12655346",False,False
307,"RUA SANTA INES SAO LUIS","971.0",NULL,"sao luis",697000,"1522516","RUA SANTA INES CENTRO","971",NULL,"centro","100.0","100.0","14.29","91.43","-9.773950444","-66.35891808","110020517000001","-9.774234","-66.358771","110020517000001","-9.774234","-66.358771","0","35.41054179","1","0",True,NULL
308,"AV PRINCIPAL CENTRO","540.0",NULL,"centro",3357,"91948296","RUA  PRINCIPAL VILA CHAPADAO","68",NULL,"vila chapadao","100.0","12.59","21.05","74.62","-9.7724774","-66.3629811","110020517000004","-9.79688","-63.551938","110002305000128","-9.79688","-63.551938","0","308038.31996912","1","308110.72580512",False,False
309,"TRAVESSA DAS ARARAS TANCREDO NEVES","246.0","EXTREMA","tancredo neves",58428,"98173088","RUA  DAS ARARAS ELDORADO","662","APARTAMENTO 8","eldorado","100.0","37.16","36.36","81.07","-9.76827678737209","-66.3544744626305","110020517000005","-8.788336","-63.863411","110020505080087","-8.788336","-63.863411","0","294282.49806","1","293412.88570074",False,False
310,"LINHA 2 KM 34 -TERRA INDIGENA KAXARARI",NULL,"TERRA INDI KAXARARI",NULL,11684,"1329201","LINHA  DOIS GLEBA SANTA CRUZ","2500",NULL,"gleba santa cruz","100.0","0.0","0.0","70.0","-9.530495","-66.371848","110020517000014","-13.150601","-60.971891","110005605000024","-13.060122","-60.970608999999996","10061.7775644","713088.46697588","1","712061.73310327",False,False
311,"AREA RURAL AREA RURAL DE PORTO VELHO",NULL,NULL,"area rural de porto velho",61985,"100166781","RUA  RURAL TEIXEIRAO","1332","CASA VERDE","teixeirao","100.0","0.0","29.41","72.94","-9.73516","-66.040486","110020517000020","-11.423637","-61.431678","110004905000096","-11.423649","-61.431728","5.6105921","537591.72181633","1","524617.64263712",False,NULL
312,"RUA HILARIO MAIA NOVA JACI",NULL,"DISTRITO JACI PARANA","nova jaci",748084,"215040651","RUA  ILARIO MAIA JACI PARANA","0","CASA","jaci parana","95.65","0.0","70.0","73.96","-9.25293634180841","-64.405679712132","110020520000016","-9.2539","-64.405212","110020520000015","-9.253936","-64.405258","6.44287024","118.81418723","1","31.70398099",False,True
313,"BR 364 KM 128",NULL,"VILA DE JIRAU",NULL,10209,"100173992","RODOVIA  BR 364 BR 364","0",NULL,"br 364","100.0","0.0","0.0","70.0","-9.425039","-64.699951","110020520000026","-9.884555","-63.05662","110002305000133","-9.884402000000001","-63.056203499999995","48.69397257","187247.78756001","1","186413.88212702",False,False
