idx_df1;endereco_df1;numero_df1;complemento_df1;bairro_df1;idx_df2;cod_unico_df2;endereco_df2;numero_df2;complemento_df2;bairro_df2;similaridade_logradouro;similaridade_numero;similaridade_bairro;similaridade_final;latitude_verdadeira;longitude_verdadeira;cd_setor_verdadeiro;latitude_resultante;longitude_resultante;cd_setor_resultante;desvio_metros
28;RUA GRACIOSA CENTRO;;;centro;60408;50151396;RUA  GRACIOSA CENTRO;227;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689950;-46.624293;351380105000526;173.55307929500387
28;RUA GRACIOSA CENTRO;;;centro;60704;50151401;RUA  GRACIOSA CENTRO;203;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689742;-46.624361;351380105000526;149.41288721030043
28;RUA GRACIOSA CENTRO;;;centro;60819;200545351;RUA  GRACIOSA CENTRO;217;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689816;-46.624342;351380105000526;157.84275144129202
28;RUA GRACIOSA CENTRO;;;centro;60940;50151404;RUA  GRACIOSA CENTRO;197;SOBRADO;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689783;-46.624434;351380105000526;151.75115250684073
28;RUA GRACIOSA CENTRO;;;centro;61011;50151399;RUA  GRACIOSA CENTRO;213;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689896;-46.624330;351380105000526;166.70486891935286
28;RUA GRACIOSA CENTRO;;;centro;61253;50151397;RUA  GRACIOSA CENTRO;223;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689941;-46.624288;351380105000526;172.75278821572297
28;RUA GRACIOSA CENTRO;;;centro;61596;50151398;RUA  GRACIOSA CENTRO;221;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689903;-46.624461;351380105000526;164.10305934460519
28;RUA GRACIOSA CENTRO;;;centro;63880;50151318;RUA  GRACIOSA CENTRO;239;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690029;-46.624487;351380105000526;177.3166438913304
28;RUA GRACIOSA CENTRO;;;centro;63952;200545243;RUA  GRACIOSA CENTRO;267;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690352;-46.624329;351380105000526;215.76098851304607
28;RUA GRACIOSA CENTRO;;;centro;64154;50151323;RUA  GRACIOSA CENTRO;279;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690365;-46.624313;351380105000526;217.53862464813366
28;RUA GRACIOSA CENTRO;;;centro;64262;200545247;RUA  GRACIOSA CENTRO;0;CASA 3;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690528;-46.624048;351380105000526;242.3890444181205
28;RUA GRACIOSA CENTRO;;;centro;64391;200545240;RUA  GRACIOSA CENTRO;259;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690097;-46.624329;351380105000526;188.23522923103454
28;RUA GRACIOSA CENTRO;;;centro;64702;50151314;RUA  GRACIOSA CENTRO;309;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690538;-46.624066;351380105000526;242.8703352560455
28;RUA GRACIOSA CENTRO;;;centro;64853;200545258;RUA  GRACIOSA CENTRO;241;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690250;-46.624303;351380105000526;205.36512447429357
28;RUA GRACIOSA CENTRO;;;centro;65511;50151316;RUA  GRACIOSA CENTRO;241;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689987;-46.624381;351380105000526;175.06504972240046
28;RUA GRACIOSA CENTRO;;;centro;65640;50151315;RUA  GRACIOSA CENTRO;295;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690500;-46.624140;351380105000526;236.5933583032835
28;RUA GRACIOSA CENTRO;;;centro;65804;200545255;RUA  GRACIOSA CENTRO;239;CASA 1;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690528;-46.624048;351380105000526;242.3890444181205
28;RUA GRACIOSA CENTRO;;;centro;150037;50151838;RUA  GRACIOSA CENTRO;396;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691237;-46.623737;351380105000002;327.24009102018385
28;RUA GRACIOSA CENTRO;;;centro;150043;50151845;RUA  GRACIOSA CENTRO;414;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691447;-46.623669;351380105000002;351.5674567561812
28;RUA GRACIOSA CENTRO;;;centro;150044;50151846;RUA  GRACIOSA CENTRO;420;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691632;-46.623669;351380105000002;371.0568744358016
28;RUA GRACIOSA CENTRO;;;centro;150053;50151833;RUA  GRACIOSA CENTRO;388;APARTAMENTO 205;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691210;-46.623736;351380105000002;324.4437774829504
28;RUA GRACIOSA CENTRO;;;centro;150054;200442956;RUA  GRACIOSA CENTRO;488;FRENTE SALAO;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692338;-46.623610;351380105000002;447.91901649317657
28;RUA GRACIOSA CENTRO;;;centro;150061;200442946;RUA  GRACIOSA CENTRO;488;SALA 2;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692218;-46.623517;351380105000002;437.8321954312193
28;RUA GRACIOSA CENTRO;;;centro;150067;50151849;RUA  GRACIOSA CENTRO;440;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691789;-46.623750;351380105000002;385.3059406024175
28;RUA GRACIOSA CENTRO;;;centro;150112;50151844;RUA  GRACIOSA CENTRO;410;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691424;-46.623694;351380105000002;348.31879058057325
28;RUA GRACIOSA CENTRO;;;centro;150122;50151855;RUA  GRACIOSA CENTRO;444;FUNDOS;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691870;-46.623735;351380105000002;394.383095039897
28;RUA GRACIOSA CENTRO;;;centro;150208;200442921;RUA  GRACIOSA CENTRO;470;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692032;-46.623662;351380105000002;413.7542642729289
28;RUA GRACIOSA CENTRO;;;centro;150211;50151827;RUA  GRACIOSA CENTRO;374;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691123;-46.623891;351380105000002;310.25717387688115
28;RUA GRACIOSA CENTRO;;;centro;150240;50151851;RUA  GRACIOSA CENTRO;470;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691943;-46.623714;351380105000002;402.77525336276864
28;RUA GRACIOSA CENTRO;;;centro;150248;200442941;RUA  GRACIOSA CENTRO;476;CASA;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692116;-46.623510;351380105000002;427.2430529085255
28;RUA GRACIOSA CENTRO;;;centro;150264;50151852;RUA  GRACIOSA CENTRO;474;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692062;-46.623714;351380105000002;415.5111505697305
28;RUA GRACIOSA CENTRO;;;centro;150304;50151843;RUA  GRACIOSA CENTRO;406;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691494;-46.623868;351380105000002;350.46307888473757
28;RUA GRACIOSA CENTRO;;;centro;150346;50151848;RUA  GRACIOSA CENTRO;438;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691661;-46.623653;351380105000002;374.62895883227696
28;RUA GRACIOSA CENTRO;;;centro;150364;50151847;RUA  GRACIOSA CENTRO;432;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691622;-46.623680;351380105000002;369.65206932054184
28;RUA GRACIOSA CENTRO;;;centro;150385;200442950;RUA  GRACIOSA CENTRO;488;SALA 3;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.692262;-46.623545;351380105000002;441.66693381254197
28;RUA GRACIOSA CENTRO;;;centro;150459;50151828;RUA  GRACIOSA CENTRO;378;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691107;-46.623783;351380105000002;312.0498291542163
28;RUA GRACIOSA CENTRO;;;centro;150501;50151837;RUA  GRACIOSA CENTRO;392;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.691253;-46.623789;351380105000002;327.2079945889163
28;RUA GRACIOSA CENTRO;;;centro;150832;50151781;RUA  GRACIOSA CENTRO;350;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690809;-46.624092;351380105000002;270.96515353351606
28;RUA GRACIOSA CENTRO;;;centro;150848;200442777;RUA  GRACIOSA CENTRO;202;BANCA;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689902;-46.624394;351380105000002;165.58160112689916
28;RUA GRACIOSA CENTRO;;;centro;150855;50151776;RUA  GRACIOSA CENTRO;300;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690590;-46.624220;351380105000002;244.08880827986232
28;RUA GRACIOSA CENTRO;;;centro;150899;200442773;RUA  GRACIOSA CENTRO;160;BANCA;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.689513;-46.624641;351380105000002;118.14885248185585
28;RUA GRACIOSA CENTRO;;;centro;150907;50151780;RUA  GRACIOSA CENTRO;328;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690754;-46.623987;351380105000002;268.19889700821
28;RUA GRACIOSA CENTRO;;;centro;150939;50151777;RUA  GRACIOSA CENTRO;316;;centro;100.0;0.0;100.0;80.0;-23.688461;-46.624804;351380105000531;-23.690627;-46.624080;351380105000002;251.87871360628472
