"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
1034,"ALDEIA KAWAPU",NULL,"TERRA IND KAXARARI",NULL,208400,"180372071","ALDEIA  KAWARY","0",NULL,"ALDEIA INDIGENA PARQUE ARIPUANA","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.884047","-60.377074","110030405000060","-11.884076","-60.377074","3.22465731","518752.36128772","1","517682.92412167",False,False
1035,"ALDEIA TSHAKUBY",NULL,"TERRA IND. KAXARARI",NULL,535663,"1627354","ALDEIA  ALDEINHA CURRAL","0",NULL,"VILHENA","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-11.670905","-60.189408","110030405000114","-11.670935","-60.189388","3.9838754","519197.0984845","1","518318.12254385",False,NULL
1036,"ALDEIA INDIGENA CENTRAL",NULL,NULL,NULL,581021,"110643949","ALDEIA  ALDEIA INDIGENA","0",NULL,"ALDEIA INDIGENA JAMARI","100.0",NULL,"0.0","100.0","-8.761158","-63.900436","110020505060003","-10.552564","-63.186472","110100515000013","-10.552564","-63.186472","0","214017.80991497","1","212950.57721878",False,False
1037,"RUA MARECHAL DEODORO","1856.0",NULL,"CENTRO",815871,"1335453","RUA MARECHAL DEODORO","1856",NULL,"CENTRO","100.0","100.0","100.0","90.0","-8.765252","-63.8982436","110020505060005","-8.765364","-63.898465","110020505060005","-8.765364","-63.898465","0","27.33311408","1","0",True,NULL
1038,"RUA IRMA CAPELLI","41.0",NULL,"CENTRO",444885,"1335658","RUA IRMA CAPELLI","41",NULL,"CENTRO","100.0","100.0","100.0","90.0","-8.765575200000002","-63.9025366","110020505060006","-8.765469","-63.902206","110020505060006","-8.765469","-63.902206","0","38.2026882","1","0",True,NULL
1039,"RUA MAJOR AMARANTE","391.0","FRENTE A ASSEMBLEIA","CENTRO",101530,"1336127","RUA MAJOR AMARANTE","391",NULL,"CENTRO","100.0","100.0","100.0","90.0","-8.7614278","-63.9115921","110020505060007","-8.761076","-63.911349","110020505060007","-8.761076","-63.911349","0","47.37089834","1","0",True,NULL
1040,"RESERVA EXTRATIVISTA DO LAGO DO CUNIA",NULL,"BAIXO MADEIRA",NULL,942323,"1432108","RUA  DO EXTRATIVISTA","2",NULL,"INDUSTRIAL","100.0",NULL,"0.0","100.0","-8.76149","-63.90731","110020505060008","-8.730944","-63.889802","110020505000038","-8.730937999999998","-63.889948000000004","16.06022113","3903.72445275","1","3514.65842446",False,NULL
1041,"RUA JOSE BONIFACIO","351.0",NULL,"CAIARI",739329,"1336395","RUA  JOSE BONIFACIO","409",NULL,"CAIARI","100.0","85.82","100.0","87.16","-8.7623191","-63.904776","110020505060008","-8.76151","-63.904684","110020505060008","-8.76151","-63.904684","0","90.53426711","1","0",True,NULL
1042,"RUA JOSE DE ALENCAR","3622.0",NULL,"OLARIA",300317,"1336639","RUA  JOSE DE ALENCAR","3648",NULL,"OLARIA","100.0","99.29","100.0","89.86","-8.75691477","-63.90671462","110020505060009","-8.756924","-63.907058","110020505060009","-8.756924","-63.907058","0","37.75103591","1","0",True,NULL
1043,"RUA DUQUE DE CAXIAS","2454.0",NULL,"SAO CRISTOVAO",578902,"1339682","RUA  DUQUE DE CAXIAS","2454",NULL,"SAO CRISTOVAO","100.0","100.0","100.0","90.0","-8.757077000000002","-63.890191","110020505060019","-8.757605","-63.890566","110020505060019","-8.7575565","-63.890572500000005","5.44006582","71.73154026","1","0",True,NULL
